,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
41793,Christchurch,Hurunui,08-Feb-17,170024,"358 Woodbank Road, Hanmer Springs  ","358 Woodbank Road, Hanmer Springs",,,LOT 1 DP 340337,," $5,000.00 ",install metro ltd trend insert wood burner
41799,Christchurch,Timaru,08-Feb-17,00000014  2017,17 Edward Street  ,17 Edward Street,,,PSE: 327,," $5,000.00 ",install woodsman tarras mkii freestanding woodburner
41800,Christchurch,Timaru,08-Feb-17,00001362  2016,41 Glenwood Avenue  ,41 Glenwood Avenue,,,Lot: 32 DP: 38220,," $5,000.00 ",install kent murchison freestanding woodburner
41811,Southland,Gore,09-Feb-17,208895/1,21A Reaby Raod  ,21A Reaby Raod,,,,," $18,000.00 ",new woodfire
41813,Southland,Gore,09-Feb-17,208892/1,5 Gertrude Street  ,5 Gertrude Street,,,,," $10,000.00 ",new woodfire
41815,Southland,Gore,09-Feb-17,208893/1,1 Durham  ,1 Durham,,,,," $3,000.00 ",new woodfire
41828,Otago,Clutha,09-Feb-17,BLD/2017/16855,13 Crossleigh Crescent  ,13 Crossleigh Crescent,,,2870256507,," $6,000.00 ",replace solid fuel heater with - woodsman tarras mkiii - on wetback
41829,Otago,Clutha,09-Feb-17,BLD/2017/16854,22 View Street  ,22 View Street,,,2804120900,," $5,300.00 ",replace solid fuel heater with - masport mckenzie r10000 - on wetback
41836,Otago,Dunedin,09-Feb-17,ABA-2017-126,3 Oates Street Dunedin  ,3 Oates Street Dunedin,,,Val  NZ No 26970-39600,," $4,500.00 ",install yunca hobson woodburner into dwelling
41838,Otago,Dunedin,09-Feb-17,ABA-2017-146,75 Martin Road Fairfield  ,75 Martin Road Fairfield,,,Val  NZ No 27851-10302,," $4,500.00 ",install yunca monte base woodburner into dwelling
41841,Otago,Dunedin,09-Feb-17,ABA-2017-127,3 Nicholson Street Dunedin  ,3 Nicholson Street Dunedin,,,Val  NZ No 27450-58400,," $3,000.00 ",install masport bannockburn i2000 inbult woodburner into dwelling
41879,Christchurch,Christchurch,09-Feb-17,BCN/2016/10829,7 Stoke Street Sumner BAU,7 Stoke Street,Sumner,BAU,Flat 1 DP 54982 on Lot 1 DP 45859 having share in 920 m2,," $40,000.00 ",alterations to dwelling - opening in internal wall - installation of a masport r5000 - freestanding - dry - woodburner - cac131557
41884,Christchurch,Christchurch,09-Feb-17,BCN/2017/668,15 Muritai Terrace Mt Pleasant BAU,15 Muritai Terrace,Mt Pleasant,BAU,Lot 5 DP 10400,," $7,000.00 ","alteration to dwelling - installation of harris ferva saturn uleb, freestanding, dry, woodburner - cac 169888"
41885,Christchurch,Christchurch,09-Feb-17,BCN/2017/416,35 Westlake Drive Westlake BAU,35 Westlake Drive,Westlake,BAU,Lot 80 DP 61814,," $6,000.00 ","alteration to dwelling - installation of kent signature, freestanding, dry, woodburner, cac111733"
41886,Christchurch,Christchurch,09-Feb-17,BCN/2017/415,68 Pegasus Avenue North New Brighton BAU,68 Pegasus Avenue,North New Brighton,BAU,Lot 24 DP 28828,," $6,000.00 ","alteration to dwelling - installation of firenzo viking, freestanding, dry, woodburner, cac102465"
41887,Christchurch,Christchurch,09-Feb-17,BCN/2017/631,10 Croziers Road Mairehau BAU,10 Croziers Road,Mairehau,BAU,Lot 6 DP 16916,," $5,000.00 ","alteration to dwelling - installation of masport r5000, freestanding, dry woodburner, cac131295"
41888,Christchurch,Christchurch,09-Feb-17,BCN/2017/613,12 William Street Akaroa BAU,12 William Street,Akaroa,BAU,Pt RS 216 Canterbury Dist,," $5,000.00 ","alteration to dwelling - installation of masport r1500, freestanding, dry, woodburner cac121119"
41889,Christchurch,Christchurch,09-Feb-17,BCN/2017/632,221 Geraldine Street St Albans BAU,221 Geraldine Street,St Albans,BAU,Pt Lot 36 DP 2501,," $5,000.00 ",alteration to dwelling - installation of woodsman brunner mkii freestanding dry woodburner cac142896
41890,Christchurch,Christchurch,09-Feb-17,BCN/2017/183,16 Regency Crescent Redwood BAU,16 Regency Crescent,Redwood,BAU,Flat 2 DP 51640 on Lot 9 DP 45078 having share in 810 m2,," $4,500.00 ",alteration to dwelling - installation of metro wee rad freestanding dry woodburner - cac092977
41891,Christchurch,Christchurch,09-Feb-17,BCN/2017/219,83 Mathesons Road Phillipstown BAU,83 Mathesons Road,Phillipstown,BAU,Lot 2 DP 26860,," $4,500.00 ","alterations to dwelling - installation of masport r5000p, freestanding, dry, woodburner - cac 131295"
41897,Christchurch,Timaru,09-Feb-17,00000016  2017,28 Seadown Road  ,28 Seadown Road,,,LOT: 7 DP: 22633,," $5,000.00 ",install masport wanaka freestanding woodburner
41898,Christchurch,Timaru,09-Feb-17,00000020  2017,149 Evans Street  ,149 Evans Street,,,Lot: 4 DP: 753,," $5,000.00 ",install masport bannockburn i2000 inbuilt woodburner
41900,Christchurch,Timaru,09-Feb-17,00000056  2017,630 Orari Station Road  ,630 Orari Station Road,,,SEC: 2 SO: 494241,," $5,000.00 ",install masport r5000 freestanding woodburner
41901,Christchurch,Timaru,09-Feb-17,00001475  2016,334 Wai-iti Road  ,334 Wai-iti Road,,,LOT: 7 DP: 24106,," $5,000.00 ",install woodsman flare freestanding woodburner
41902,Christchurch,Waimakariri,09-Feb-17,BC161412,497 Boundary Road  ,497 Boundary Road,,,LOT 1 DP 334197,," $350,000.00 ",dwelling with log burner & solar & septic tank
41925,Otago,Dunedin,10-Feb-17,ABA-2017-151,9 Melrose Street Dunedin  ,9 Melrose Street Dunedin,,,Val  NZ No 26960-15400,," $6,000.00 ",install firenzo kompact deco ag inbuilt woodburner into dwelling
41926,Otago,Dunedin,10-Feb-17,ABA-2017-148,12 Erskine Place Dunedin  ,12 Erskine Place Dunedin,,,Val  NZ No 27360-48607,," $5,000.00 ",install masport i2000 inbuilt woodburner into dwelling
41928,Marlborough,Marlborough,10-Feb-17,BC161247,"2574 SH 6
Okaramio  ","2574 SH 6
Okaramio",,,,," $12,000.00 ",conversion of garage to family flat with free-standing warmington studio stove log fire & new wastewater treatment system
41932,Christchurch,Christchurch,10-Feb-17,BCN/2016/8940,25 Koromiko Crescent Diamond Harbour ,25 Koromiko Crescent,Diamond Harbour,,Lot 4 DP 54123,," $650,000.00 ",construction of detached dwelling and installation of a woodsman flare freestanding dry woodburner cac134775
41938,Christchurch,Christchurch,10-Feb-17,BCN/2016/9908,1198A Okains Bay Road Okains Bay ,1198A Okains Bay Road,Okains Bay,,Lot 1 DP 405098,," $300,000.00 ","construction of dwelling and installation of woodsman tarras mkii,  freestanding, wetback, woodburner, cac120927 - subject to section 72 natural hazard"
41942,Christchurch,Christchurch,10-Feb-17,BCN/2017/705,2/22 Prossers Road St Martins BAU,2/22 Prossers Road,St Martins,BAU,Flat 2 DP 49189 on Lot 3 DP 26401 having share in 1064 m2,," $8,000.00 ","alteration to dwelling - installation of tropicair duo (uleb), freestanding, dry, woodburner - cac 164316"
41943,Christchurch,Christchurch,10-Feb-17,BCN/2017/703,15 Pyatt Place Redwood BAU,15 Pyatt Place,Redwood,BAU,Lot 75 DP 50871,," $8,000.00 ","alteration to dwelling - installation of tropicair duo uleb, freestanding, dry, woodburner - cac 164316"
41944,Christchurch,Christchurch,10-Feb-17,BCN/2017/468,20 Mavin Road Hoon Hay BAU,20 Mavin Road,Hoon Hay,BAU,Lot 13 DP 15657,," $5,500.00 ","alteration to dwelling - installation of masport le4000 provincial, insert, dry, woodburner - cac 071591"
41945,Christchurch,Christchurch,10-Feb-17,BCN/2017/642,21 Westcott Street Dallington BAU,21 Westcott Street,Dallington,BAU,Lot 30 DP 16872,," $5,000.00 ","alteration to dwelling - installation of masport r5000, freestanding dry woodburner cac131295"
41953,Christchurch,Timaru,10-Feb-17,00001476  2016,12 Guinness Street  ,12 Guinness Street,,,LOT: 7 DP: 7053,," $5,000.00 ",install metro eco smart inbuilt woodburner
41954,Christchurch,Timaru,10-Feb-17,00000116  2017,12A Otipua Road  ,12A Otipua Road,,,LOT: 2 DP: 38703,," $5,000.00 ",install woodsman tarras mk iii freestanding woodburner
41956,Christchurch,Timaru,10-Feb-17,00000919  2016,26 Otipua Road  ,26 Otipua Road,,,LOT: 2 DP: 42930,," $2,500.00 ",install woodsman brunner dry freestanding woodburner
41961,Christchurch,Waimakariri,10-Feb-17,BC170042,38 B Wesley Street  ,38 B Wesley Street,,,FLAT 2 DP 71780 ON LOT 28 DP 19969 -HAVING 1/2 INT IN 1012 S QUARE METRES,," $3,000.00 ",tropicair duo freestanding log burner
41962,Christchurch,Waimakariri,10-Feb-17,BC170038,4 Ashgrove Street  ,4 Ashgrove Street,,,LOT 2 DP 20638,," $3,000.00 ",masport r5000p freestanding wetback logburner
41963,Christchurch,Waimakariri,10-Feb-17,BC170028,77 Robert Coup Road  ,77 Robert Coup Road,,,LOT 2 DP 56280 PREVIOUSLY ASSESSED AT 1762/140,," $3,000.00 ",metro wee ped freestanding log burner
41964,Christchurch,Waimakariri,10-Feb-17,BC170039,21 Regent Avenue  ,21 Regent Avenue,,,LOT 93 DP 51714,," $3,000.00 ",harris ferva saturn uleb freestanding logburner
41965,Christchurch,Waimakariri,10-Feb-17,BC170008,25 Huntingdon Dr  ,25 Huntingdon Dr,,,Lot 60 DP 453206,," $3,000.00 ",xeoos x8 solo freestanding log burner
41966,Christchurch,Waimakariri,10-Feb-17,BC161615,7 Harrall Place  ,7 Harrall Place,,,LOT 83 DP 60778 PREVIOUSLY ASSESSED AT 21762/421/1,," $3,000.00 ",tarras wetback mkiii freestanding log burner
41967,Christchurch,Waimakariri,10-Feb-17,BC170063,4 Calvandra Grove  ,4 Calvandra Grove,,,LOT 14 DP 78902 BLK VI X RANGIORA SD - I NT IN R/W,," $3,000.00 ",metro wee ped freestanding log burner
41994,Marlborough,Marlborough,13-Feb-17,BC161304,288 Moetapu Bay Road Pelorus Sound / Te Hoiere  ,288 Moetapu Bay Road Pelorus Sound / Te Hoiere,,,,," $427,000.00 ",dwelling with masport bannockburn i2000 insert log fire
41996,Marlborough,Marlborough,13-Feb-17,BC170101,5 D Takorika Street Havelock  ,5 D Takorika Street Havelock,,,,," $3,800.00 ",free-standing woodsman ecr novo log fire
41997,Marlborough,Marlborough,13-Feb-17,BC170102,9 Farmar Street Blenheim  ,9 Farmar Street Blenheim,,,,," $3,800.00 ",free-standing woodsman brunner mk ii log fire
42007,Christchurch,Christchurch,13-Feb-17,BCN/2017/331,4 Ngatea Road Diamond Harbour BAU,4 Ngatea Road,Diamond Harbour,BAU,Lot 37 DP 13152,," $30,000.00 ",alteration to dwelling - internal and external alterations and installation of woodsman ecr novo freestanding dry woodburner cac 153733
42008,Christchurch,Christchurch,13-Feb-17,BCN/2017/644,234 Radcliffe Road Belfast BAU,234 Radcliffe Road,Belfast,BAU,Lot 2 DP 455674,," $8,500.00 ","alteration to dwelling - installation of tropicair duo uleb, freestanding, wetback, woodburner - cac 165314"
42009,Christchurch,Christchurch,13-Feb-17,BCN/2017/484,8A Lodge Place Avonhead BAU,8A Lodge Place,Avonhead,BAU,Lot 10 DP 40439,," $8,000.00 ","alteration to dwelling - installation of tropicair duo uleb, freestanding, dry, woodburner - cac 164316"
42011,Christchurch,Christchurch,13-Feb-17,BCN/2017/659,9 Utah Place Westhaven BAU,9 Utah Place,Westhaven,BAU,Lot 19 DP 55273,," $5,000.00 ","alteration to dwelling - installation of masport mystique (uleb), freestanding, dry, woodburner, cac 165858"
42012,Christchurch,Christchurch,13-Feb-17,BCN/2017/729,130 Simeon Street Spreydon BAU,130 Simeon Street,Spreydon,BAU,Lot 2 DP 774,," $4,500.00 ","alteration to dwelling - installation of masport heartland, freestanding, dry, woodburner - cac 163230"
42013,Christchurch,Christchurch,13-Feb-17,BCN/2017/534,21C Dyers Pass Road Cashmere BAU,21C Dyers Pass Road,Cashmere,BAU,Lot 2 DP 41718,," $4,491.00 ",alteration to dwelling - installation of masport osburn 1600 dry freestanding woodburner - cac090550
42014,Christchurch,Christchurch,13-Feb-17,BCN/2017/610,18 Poulson Street Addington BAU,18 Poulson Street,Addington,BAU,Lot 2 DP 301371,," $4,000.00 ","alteration to dwelling - installation of a (second hand) woodsman, matai ecr mkii, freestanding, dry woodburner cac071128"
42015,Christchurch,Christchurch,13-Feb-17,BCN/2017/586,255 Okuti Valley Road Little River BAU,255 Okuti Valley Road,Little River,BAU,Pt Sec 5 Kinloch Sett,," $2,600.00 ","alteration to dwelling - installation of yunca xander, inbuilt, dry, woodburner - cac 167121"
42025,Christchurch,Hurunui,13-Feb-17,170032,"299 Jurys Road, Amberley  ","299 Jurys Road, Amberley",,,PT LOT 1 D P 2256 BLK XVII WAIKARI SD,," $7,000.00 ",install woodsman tarras mkiii wood burner
42028,Christchurch,Timaru,13-Feb-17,00001309  2016,26A Kent Street  ,26A Kent Street,,,Lot: 10 DP: 19061,," $15,000.00 ",dwelling alterations & install woodsman tarras mkii freestandingwoodburner
42030,Christchurch,Timaru,13-Feb-17,00001492  2016,31 Mowbray Street  ,31 Mowbray Street,,,Lot: 2 DP: 13012,," $5,000.00 ",install firenzo contessa ag10 wet freestanding woodburner
42035,Christchurch,Waimakariri,13-Feb-17,BC170049,77 King Street  ,77 King Street,,,LOT 6 DP 35736,," $3,000.00 ",masport yunca freestanding log burner
42036,Christchurch,Waimate,13-Feb-17,170014,"18 Coronation Street, Waimate  ","18 Coronation Street, Waimate",,,,," $4,000.00 ",install new woodsman tasman mii log fire - no wetback
42045,Marlborough,Marlborough,14-Feb-17,BC161310,23 Corsair Crescent Blenheim  ,23 Corsair Crescent Blenheim,,,,," $284,470.00 ",dwelling with attached garage & inbuilt masport log fire
42050,Marlborough,Marlborough,14-Feb-17,BC170104,56 Howick Road Blenheim  ,56 Howick Road Blenheim,,,,," $4,850.00 ",free-standing masport hestia 2 log fire
42051,Marlborough,Marlborough,14-Feb-17,BC170103,83 A Howick Road Blenheim  ,83 A Howick Road Blenheim,,,,," $2,800.00 ",free-standing woodsman ecr novo log fire
42063,Christchurch,Christchurch,14-Feb-17,BCN/2016/10724,3 Takutai Place Diamond Harbour BAU,3 Takutai Place,Diamond Harbour,BAU,Lot 79 DP 354225,," $270,000.00 ",construction of dwelling with attached garage and installation of woodsman erc novo freestanding dry woodburner cac153733
42065,Christchurch,Christchurch,14-Feb-17,BCN/2016/10659,137 Rocking Horse Road Southshore BAU,137 Rocking Horse Road,Southshore,BAU,Lot 9 DP 20859,," $150,000.00 ","alteration and addition to dwelling - rebuild conservatory, change to layout, recladding, reroof and installation of harris ferva saturn freestanding dry woodburner cac169888"
42073,Christchurch,Christchurch,14-Feb-17,BCN/2017/722,132 Lonsdale Street New Brighton BAU,132 Lonsdale Street,New Brighton,BAU,Lot 1 DP 2788,," $4,500.00 ","alteration to dwelling - installation of masport r1600, freestanding, dry, woodburner - cac 133819"
42088,Christchurch,Timaru,14-Feb-17,00001433  2016,49 Morgans Road  ,49 Morgans Road,,,Lot: 6 DP: 22557,," $5,000.00 ",installl jayline ss200l freestanding woodburner
42089,Christchurch,Timaru,14-Feb-17,00001515  2016,9 Gleniti Road  ,9 Gleniti Road,,,Lot: 1 DP: 12372,," $5,000.00 ",install firenzo contessa ag freestanding woodburner
42096,Christchurch,Waitaki,14-Feb-17,101.2016.00003637.001,35 Oban Street  ,35 Oban Street,,,Lot: 2 DP: 448073,," $300,000.00 ","construct new 2 storey dwelling with woodburner, gas hot water"
42098,Christchurch,Waitaki,14-Feb-17,101.2017.00003686.001,39 Pukeuri-Oamaru Road  ,39 Pukeuri-Oamaru Road,,,Sec: 2 Sec: 56 Blk: I SD: Oamaru,," $4,000.00 ",installation of a free-standing masport f3000 woodburner
42099,Christchurch,Waitaki,14-Feb-17,101.2016.00003455.002,2 Braemar Terrace  ,2 Braemar Terrace,,,Lot: 5 DP: 11054,, $100.00 ,amendment  2016/3455/2 - change woodburner to yunca wegj 2000
42102,Southland,Invercargill,15-Feb-17,2017/100,72 Mitchell Street  ,72 Mitchell Street,,,30130.68300,," $3,200.00 ",install yunca monte base wood burner
42121,Christchurch,Christchurch,15-Feb-17,BCN/2016/10616,17 Earlham Street Brooklands BAU,17 Earlham Street,Brooklands,BAU,Lot 70 DP 6164,," $401,000.00 ",construction of dwelling with detached garage and installation of tropicair duo (uleb) freestanding dry woodburner cac164316 subject to section 73 natural hazard notification
42128,Christchurch,Christchurch,15-Feb-17,BCN/2016/10759,44 Cannon Hill Crescent St Andrews Hill EQ,44 Cannon Hill Crescent,St Andrews Hill,EQ,Lot 30 DP 21020,," $120,000.00 ","alteration to dwelling - internal and external alterations including re-clad, new ensuite, removal of car port  and installation of rais bionic fire, freestanding, dry, woodburner, cac152619"
42134,Christchurch,Christchurch,15-Feb-17,BCN/2017/753,2 Stourbridge Street Spreydon BAU,2 Stourbridge Street,Spreydon,BAU,Lot 2 DP 10955,," $4,500.00 ",alteration to dwelling - installation of masport bannockburn 12000 insert dry woodburner cac154102
42135,Christchurch,Christchurch,15-Feb-17,BCN/2017/713,337 Lyttelton Street Spreydon BAU,337 Lyttelton Street,Spreydon,BAU,"Pt Lot 3 DP 12418, Lot 4 DP 6708",," $4,500.00 ",alteration to dwelling - installation of lady kitchener ag10-wb wetback freestanding woodburner - cac103472
42136,Christchurch,Christchurch,15-Feb-17,BCN/2017/742,41A Wychbury Street Spreydon BAU,41A Wychbury Street,Spreydon,BAU,Lot 32 DP 21140,," $4,000.00 ","alteration to dwelling - installation of masport bannockburn i2000, insert, wet, woodburner - cac 154103"
42143,Christchurch,Timaru,15-Feb-17,00000031  2017,860 Woodbury Road  ,860 Woodbury Road,,,Lot: 1 DP: 59514,," $110,000.00 ",dwelling additions & alterations (new bedroom / living area & convertbedroom to office / relocate woodburner)
42146,Christchurch,Timaru,15-Feb-17,00001419  2016,36 Spring Road  ,36 Spring Road,,,Lot: 5 DP: 28143,," $5,000.00 ",install metro xtreme rad base freestanding woodburner
42147,Christchurch,Timaru,15-Feb-17,00000059  2017,28 Dunkirk Street  ,28 Dunkirk Street,,,Lot: 140 DP: 14683,," $5,000.00 ",install metro eco tiny rad freestanding woodburner
42148,Christchurch,Timaru,15-Feb-17,00001461  2016,37 Temple Crescent  ,37 Temple Crescent,,,Lot: 2 DP: 63642,," $5,000.00 ",install woodsman tarras dry mkiii freestanding woodburner
42152,Christchurch,Waimakariri,15-Feb-17,BC170025,248 Mount Thomas Road  ,248 Mount Thomas Road,,,LOT 1 DP 496829 4.000000 Ha,," $175,000.00 ",dwelling with attached garage and logburner
42154,Christchurch,Waitaki,15-Feb-17,101.2017.00003687.001,212 Shag Point Road  ,212 Shag Point Road,,,Lot: 18 DP: 25683,," $5,000.00 ",installation of a free-standing contessa ag woodburner
42167,Otago,Clutha,16-Feb-17,BLD/2016/16813,231 Moturata Road  ,231 Moturata Road,,,2804466400,," $333,000.00 ","erect dwelling with carport attached, install solid fuel heater - masport r10000 f/s woodburner"
42171,Otago,Dunedin,16-Feb-17,ABA-2016-1842,286 Otokia-Kuri Bush Road East Taieri Mouth  ,286 Otokia-Kuri Bush Road East Taieri Mouth,,,Val  NZ No 27901-03810,," $275,000.00 ","erect dwelling with attached garage on existing foundation, install metro wee rad base heater and kent logfire heater,  install water tank, connect to existing septic system"
42180,Marlborough,Marlborough,16-Feb-17,BC161311,"75 Mills and Ford Road East
Grovetown  ","75 Mills and Ford Road East
Grovetown",,,,," $600,000.00 ","dwelling with attached garage & inbuilt masport i9000 log fire, shed and swimming pool"
42184,Marlborough,Marlborough,16-Feb-17,BC170125,Mt Riley Road Okaramio  ,Mt Riley Road Okaramio,,,,," $5,000.00 ",free standing firenzo contessa ru legs log fire
42185,Marlborough,Marlborough,16-Feb-17,BC170127,14 Dunbeath Street Blenheim  ,14 Dunbeath Street Blenheim,,,,," $4,500.00 ",free standing masport mackenzie r10000 log fire
42186,Marlborough,Marlborough,16-Feb-17,BC170117,51 Redwood Street Blenheim  ,51 Redwood Street Blenheim,,,,," $4,500.00 ",free standing masport r5000 log fire
42187,Marlborough,Marlborough,16-Feb-17,BC170130,44 A Adams Lane Blenheim  ,44 A Adams Lane Blenheim,,,,," $3,850.00 ",metro smart insert log fire
42188,Marlborough,Marlborough,16-Feb-17,BC170131,116 A Maxwell Road Blenheim  ,116 A Maxwell Road Blenheim,,,,," $3,800.00 ",free standing woodsman brunner mk ii log fire
42189,Marlborough,Marlborough,16-Feb-17,BC170129,59 Mowat Street Blenheim  ,59 Mowat Street Blenheim,,,,," $3,000.00 ",free standing woodsman ecr novo log fire
42190,Marlborough,Marlborough,16-Feb-17,BC170112,50 A Milton Terrace Picton  ,50 A Milton Terrace Picton,,,,," $3,000.00 ",free-standing metro r1 log fire
42205,Christchurch,Christchurch,16-Feb-17,BCN/2016/10316,10 Aintree Street Bishopdale BAU,10 Aintree Street,Bishopdale,BAU,Lot 45 DP 24402,," $86,500.00 ",addition and alteration to dwelling - living area extension and deck - installation of masport 15000 insert dry woodburner cac111499
42211,Christchurch,Christchurch,16-Feb-17,BCN/2017/857,28 Fisher Avenue Beckenham BAU,28 Fisher Avenue,Beckenham,BAU,"Pt Lots 55,56 DP 1376",," $6,000.00 ",alteration to dwelling - installation of a ferva saturn freestanding dry wood burner cac 172501
42212,Christchurch,Christchurch,16-Feb-17,BCN/2017/854,25 Royleen Street Northcote BAU,25 Royleen Street,Northcote,BAU,Lot 21 DP 46874,," $4,000.00 ",alteration to dwelling - installation of a masport r1500 freestanding wood burner dry cac 121119
42224,Christchurch,Timaru,16-Feb-17,00001449  2016,10 College Road  ,10 College Road,,,LOT: 2 DP: 15312,," $5,000.00 ",install woodsman tasman mkii freestanding woodburner
42225,Christchurch,Timaru,16-Feb-17,00000057  2017,21 Hertford Street  ,21 Hertford Street,,,LOT: 62 DP: 263,," $5,000.00 ",install jayline ss200l freestanding woodburner
42226,Christchurch,Timaru,16-Feb-17,00000073  2017,49 Afghan Street  ,49 Afghan Street,,,Lot: 4 DP: 16547,," $5,000.00 ",install metro eco smart inbuilt woodburner
42227,Christchurch,Timaru,16-Feb-17,00000090  2017,18 Burgess Street  ,18 Burgess Street,,,Lot: 34 DP: 156,," $5,000.00 ",install woodsman tarras mkiii freestanding woodburner
42228,Christchurch,Timaru,16-Feb-17,00001498  2016,2 Onslow Street  ,2 Onslow Street,,,LOT: 1 DP: 3560,," $5,000.00 ",install firenzo lady kitchener ag10-wetback freestanding woodburner
42229,Christchurch,Timaru,16-Feb-17,00001505  2016,50 High Street  ,50 High Street,,,LOT: 1 DP: 17666,," $5,000.00 ",install masport minos 2 freestanding woodburner
42231,Christchurch,Waimakariri,16-Feb-17,BC170060,109 Main North Rd (Sh 1)  ,109 Main North Rd (Sh 1),,,LOT 2 DP 59706 LOT 3 DP 80141,," $3,000.00 ",metro smart insert inbuilt & metro mega rad  freestanding log burner
42232,Christchurch,Waimakariri,16-Feb-17,BC170087,3 Cressy Avenue  ,3 Cressy Avenue,,,LOT 29 DP 19101,," $3,000.00 ",kent aspiring freestanding log burner
42272,Christchurch,Christchurch,17-Feb-17,BCN/2017/750,35 Roydon Drive Templeton BAU,35 Roydon Drive,Templeton,BAU,Lot 9 DP 62169,," $6,000.00 ","alteration to dwelling - installation of masport osburn 1600 mkii, freestanding wetback woodburner cac111500"
42273,Christchurch,Christchurch,17-Feb-17,BCN/2017/787,12 Mays Road St Albans BAU,12 Mays Road,St Albans,BAU,Lot 1 DP 69433,," $1,500.00 ",alteration to dwelling - installation of a masport mystique freestanding dry wood burner cac  165858
42282,Christchurch,Hurunui,17-Feb-17,170040,"21 Wilkin Street, Rotherham  ","21 Wilkin Street, Rotherham",,,LOT 7 DP 354815,," $5,000.00 ",install metro wee rad woodburner
42285,Christchurch,Timaru,17-Feb-17,00000091  2017,246 Greenvale Road  ,246 Greenvale Road,,,Lot: 2 DP: 66867,," $5,000.00 ",install woodsman tarras mklll freestanding woodburner
42286,Christchurch,Timaru,17-Feb-17,00001352  2016,28 Guinness Street  ,28 Guinness Street,,,PLT: 3 DP: 2568,," $5,000.00 ",install firenzo lady kitchener ag10 freestanding wetback woodburner
42287,Christchurch,Timaru,17-Feb-17,00001349  2016,8A Usk Street  ,8A Usk Street,,,Lot: 2 DP: 49084,," $5,000.00 ",install masport r1600 freestanding woodburner
42288,Christchurch,Timaru,17-Feb-17,00001471  2016,12 Monowai Place  ,12 Monowai Place,,,Lot: 7 DP: 34951,," $5,000.00 ",install metro xtreme ped freestanding woodburner
42289,Christchurch,Timaru,17-Feb-17,00000147  2017,28 Princes Street  ,28 Princes Street,,,Lot: 3 DP: 26256,," $5,000.00 ",install metro eco wee rad freestanding woodburner
42290,Christchurch,Timaru,17-Feb-17,00001462  2016,10 Monowai Place  ,10 Monowai Place,,,Lot: 1 DP: 47076,," $5,000.00 ",install masport r1500 freestanding woodburner
42299,Christchurch,Waimakariri,17-Feb-17,BC170113,18 Reserve Road  ,18 Reserve Road,,,LOT 48 DP 71283,," $3,000.00 ",woodsman aspen freestanding logburner
42306,Otago,Dunedin,18-Feb-17,ABA-2017-49,25 Law Street Dunedin  ,25 Law Street Dunedin,,,Val  NZ No 27450-11500,," $250,000.00 ","erect dwelling with attached garage, install metro wee rad woodburner (proposed lot 2)"
42322,Otago,Clutha,20-Feb-17,BLD/2016/16814,23 View Street  ,23 View Street,,,2804116100,," $365,000.00 ","erect dwelling with garage attached, install solid fuel heater - woodsman tarras mkiii f/s woodburner, erect studio with bathroom"
42323,Otago,Clutha,20-Feb-17,BLD/2017/16870,241 Hillend Road  ,241 Hillend Road,,,2804017501,," $5,000.00 ",replace existing solid fuel heater with - yunca kronos - multifuel f/s
42324,Otago,Clutha,20-Feb-17,BLD/2017/16871,11 Liddells Road  ,11 Liddells Road,,,2804468907,," $5,000.00 ",install solid fuel heater - metro wee rad - f/s woodburner
42327,Otago,Dunedin,20-Feb-17,ABA-2016-2471,27B Westgate Dunedin  ,27B Westgate Dunedin,,,Val  NZ No 27380-35281,," $425,000.00 ","erect dwelling with attached garage, install yunca monte euro woodburner"
42337,Otago,Dunedin,20-Feb-17,ABA-2017-167,59 Sligo Terrace Dunedin  ,59 Sligo Terrace Dunedin,,,Val  NZ No 26970-07700,," $4,500.00 ",install yunca hobson woodburner into dwelling
42342,Christchurch,Ashburton,20-Feb-17,BC0069/17,65 George Street Tinwald  ,65 George Street Tinwald,,,,," $4,500.00 ",install an inbuilt metro eco smart logfire.
42348,Christchurch,Christchurch,20-Feb-17,BCN-2016-10902,1/14 Lamorna Road Queenspark ,1/14 Lamorna Road,Queenspark,,Flat 1 DP 37381 on Lot 28 DP 34334 having share in 738 m2,," $335,000.00 ","construction of two townhouse units with attached garages and installation of two xeoos twinfire x8, freestanding dry woodburners cac 157094"
42350,Christchurch,Christchurch,20-Feb-17,BCN-2017-627,28 Sharman Place Oaklands ,28 Sharman Place,Oaklands,,Lot 46 DP 489410,," $180,867.00 ","construction of dwelling with attached garage and installation of masport mystique, freestanding, dry, woodburner - cac 165858"
42356,Christchurch,Christchurch,20-Feb-17,BCN-2017-648,78 Stanbury Avenue Spreydon ,78 Stanbury Avenue,Spreydon,,Lot 72 DP 20496,," $6,500.00 ","alteration to dwelling - installation of tropicair duo (uleb), freestanding, dry, woodburner, cac 164316"
42357,Christchurch,Christchurch,20-Feb-17,BCN-2017-823,33 Witham Street Hornby ,33 Witham Street,Hornby,,Lot 5 DP 24429,," $6,500.00 ","alteration to dwelling - installation of masport f3000, freestanding dry woodburner, cac092856"
42358,Christchurch,Christchurch,20-Feb-17,BCN-2017-884,31 Sewell Street North Linwood ,31 Sewell Street,North Linwood,,Lot 1 DP 14983,," $5,000.00 ","alteration to dwelling - installation of woodsman totara, insert, dry, woodburner - cac 110220"
