,region,council,date_issued,council_ref,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
48804,Auckland,Pukekohe,18-Jul-19,PkBCO10291615,95C Ostrich Road,Pukekohe,Auckland, 2679 ,Lot 4 Dp 133886,,4533,installation of solid fuel heater to manufacturers specifications.
48805,Auckland,Pukekohe,18-Jul-19,PkBCO10291614,166 McKenzie Road,Pukekohe,Auckland, 2679 ,Lot 1 Dp 94317,,4679,sfh - installation of a solid fuel heater to manufactures specifications
48806,Auckland,Pukekohe,18-Jul-19,PkBCO10291545,18A Moumoukai Road,Papakura,Auckland, 2583 ,"Lot 3 Dp 125201, Lot 2 Dp 375455",,4848,"(sfh): installation of a solid fuel heater to manufacturers specifications, at shed."
48807,Auckland,Pukekohe,18-Jul-19,PkBCO10291547,18A Moumoukai Road,Papakura,Auckland, 2583 ,"Lot 3 Dp 125201, Lot 2 Dp 375455",,5098,"(sfh): installation of a solid fuel heater to manufacturers specifications, in main dwelling."
48810,Auckland,Pukekohe,19-Jul-19,PkBCO10291388,353B Gelling Road,Papakura,Auckland, 2583 ,Lot 1 Dp 140864,,4000,sfh - installation of a new woodfire
48811,Auckland,Pukekohe,19-Jul-19,PkBCO10291725,40 Pukeoware Road,Pukeoware,Auckland,  ,Lot 2 Dp 201688,,4000,sfh -installation of solid fuel heater to manufacturers specifications
48812,Auckland,Pukekohe,19-Jul-19,PkBCO10291687,268A Union Road,Pukekohe,Auckland, 2678 ,Pt Lot 2 Dp 1957,,7177,sfh - installation of a solid fuel heater to manufacturers specifications
48817,Auckland,Pukekohe,22-Jul-19,PkBCO10291721,191 Gleeson Road,Waiuku,Auckland, 2683 ,Allot 91 5 Parish Waipipi District,,5180,sfh - installation of a solid fuel heater with wetback to manufacturers specifications.
48823,Auckland,Pukekohe,23-Jul-19,PkBCO10291831,5 Riverside Drive,Waiuku,Auckland, 2123 ,Lot 2 Dp 474521,,4357,sfh - installation of a solid fuel heater to manufacturers specifications
48825,Auckland,Pukekohe,23-Jul-19,PkBCO10291832,687F Runciman Road,Drury,Auckland, 2578 ,Lot 5 Dp 57252,,6249,sfh - installation of solid fuel heater to manufacturers specifications
48832,Auckland,Pukekohe,24-Jul-19,PkBCO10291900,291 Union Road,Pukekohe,Auckland, 2678 ,Lot 1 Dp 530914,,6000,sfh - new wood fire.
48835,Auckland,Pukekohe,25-Jul-19,PkBCO10291902,331D Tuhimata Road,Drury,Auckland, 2578 ,Lot 3 Dp 508841,,1500,"sfh - install one new freestanding wood burner, including stone hearth and standard 150mm flue system, all in accordance with nz building standards."
48837,Auckland,Pukekohe,25-Jul-19,PkBCO10292076,24 Kaiwaka Road,Waiuku,Auckland, 2123 ,Lot 1 Dp 157217,,4152,sfh - installation of a solid fuel heater to manufacturers specifications
48840,Auckland,Pukekohe,26-Jul-19,PkBCO10292155,479 Paparata Road,Bombay,Auckland, 2675 ,Lot 1 Dp 152954,,5889,installation of wetback to solid fuel heater
48845,Auckland,Pukekohe,29-Jul-19,PkBCO10291682,6B Frances Place,Papakura,Auckland, 2583 ,Lot 5 Dp 133883,,4900,sfh - installation of new woodfire
48849,Auckland,Pukekohe,30-Jul-19,PkBCO10292277,47 Gilmore Road,Glenbrook,Auckland,  ,"Lot 1 Dp 208937, Lot 2 Dp 208937",,3618,sfh - installation of solid fuel heater to manufacturers specification
48850,Auckland,Pukekohe,30-Jul-19,PkBCO10292275,133 Chamberlain Road,Bombay,Auckland, 2675 ,Lot 1 Dp 462129,,3997,sfh - installation of solid fuel heater to manufacturer specifications
48858,Auckland,Pukekohe,01-Aug-19,PkBCO10292569,5 Grierson Place,Pukekohe,Auckland, 2120 ,Lot 2 Dp 47290,,4092,installation of a solid fuel heater to manufacturers specifications.
48859,Auckland,Pukekohe,01-Aug-19,PkBCO10292624,7 Beresford Street,Pukekohe,Auckland, 2120 ,Lot 7 Dp 410529,,4236,sfh - installation of a solid fuel heater to manufacturers specifications
48860,Auckland,Pukekohe,01-Aug-19,PkBCO10292568,14 Princes Street,Pukekohe,Auckland, 2120 ,Pt Lot 1 Dp 16253,,4353,installation of a solid fuel heater to manufacturers specifications.
48912,Auckland,Pukekohe,16-Aug-19,PkBCO10293542,68 Racecourse Road,Waiuku,Auckland,  ,Lot 1 Dp 61464,,3499,sfh : installation of a solid fuel heater to manufatureres specifications.
48913,Auckland,Pukekohe,16-Aug-19,PkBCO10292851,6 Cromwell Place,Pukekohe,Auckland,  ,Lot 7 Dp 77620,,3705,installation of solid fuel heater to manufacturers specifications.
48929,Auckland,Pukekohe,21-Aug-19,PkBCO10292764,71 Fausett Road,Drury,Auckland,  ,Lot 1 Dp 135729,,5428,(sfh) - installation of solid fuel heater to manufacturers specification.
48933,Auckland,Pukekohe,22-Aug-19,PkBCO10293702,1 Mirabell Place,Patumahoe,Auckland,  ,Lot 27 Dp 432108,,4178,sfh - installation of a solid fuel heater to manufacturers specifications
48948,Auckland,Pukekohe,29-Aug-19,PkBCO10294168,81A Morley Road,Waiuku,Auckland,  ,Lot 6 Dp 136690,,3289,sfh - installation of an existing solid fuel heater to manufacturers specifications in another location in the same room.
48961,Auckland,Pukekohe,01-Sep-19,PkBCO10293690,190 Waiau Pa Road,Pukekohe,Auckland, 2679 ,Pt Lot 4 Dp 136167,,450000,rbw - new single level 3 bedroom residential dwelling with attached double garage. separate ww treatment system and sw tanks. jayline fr300 solid fuel heater
48974,Auckland,Pukekohe,03-Sep-19,PkBCO10296149,84 Russell Road,Pukekohe,Auckland, 2676 ,Lot 1 Dp 199178,,4762,sfh - installation of a solid fuel heater to manufacturers specifications
48975,Auckland,Pukekohe,03-Sep-19,PkBCO10294432,98 Racecourse Road,Waiuku,Auckland, 2123 ,Lot 3 Dp 76663,,6058,installation of a solid fuel heater to manfacturers specifications.
48984,Auckland,Pukekohe,04-Sep-19,PkBCO10292632,1740F Ponga Road,Papakura,Auckland, 2584 ,"Lot 3 Dp 132339, 1/12 Sh Lot 6 Dp 119945",,5000,sfh - install freestanding woodfire and flu
48992,Auckland,Pukekohe,06-Sep-19,PkBCO10294556,44E Selva Road,Pukekohe,Auckland, 2679 ,Lot 7 Dp 157135,,2129,sfh - installation of a solid fuel heater to manufacturers specifications
48998,Auckland,Pukekohe,09-Sep-19,PkBCO10293293,95A Ostrich Farm Road,Pukekohe,Auckland, 2679 ,"Lot 3 Dp 510781, Lot 2 Dp 506737",,709000,"rbw - new single level detached dwelling with four bedroom, solid fuel heater & triple garaging."
49002,Auckland,Pukekohe,11-Sep-19,PkBCO10294901,3 Crispe Road,Clarks Beach,Auckland, 2122 ,Lot 2 Dp 34598,,7135,sfh - installation of a solid fuel heater to manufacturers specifications
49024,Auckland,Pukekohe,08-Oct-19,PkBCO10293933,12 Okoreka Road,Glenbrook,Auckland, 2681 ,Lot 218 Dp 513833,,375000,"rbw - proposed new single level, 4 bedroom dwelling with woodburner and attached single garage."
49043,Auckland,Pukekohe,24-Oct-19,PkBCO10296960,1 Glencairn Place,Pukekohe,Auckland, 2677 ,Lot 19 Dp 318727,,6309,sfh - installation of a solid fuel heater to manufacturers specifications
49046,Auckland,Pukekohe,25-Oct-19,PkBCO10297092,11 Pono Place,Waiuku,Auckland, 2123 ,Lot 18 Dp 159427,,1699,sfh - installation of a solid fuel heater to manufacturers specifications
49062,Auckland,Pukekohe,04-Nov-19,PkBCO10296808,42A Reed Road Papakura    2584,42A Reed Road,Papakura, 2584 ,"Allot 40 Parish Hunua District, Allot 40 Parish Hunua District, Sec 1 So 68665",,5689,solid fuel -  installation of solid fuel heater to manufacturers specifications
49070,Auckland,Pukekohe,06-Nov-19,PkBCO10297715,325 Sim Road Pukekohe    2676,325 Sim Road,Pukekohe, 2676 ,Lot 1 Dp 201006,,2399,sfh - installation of a solid fuel heater to manufacturers specifications
49105,Auckland,Pukekohe,14-Nov-19,PkBCO10264574-A,56A McGregor Road,Papakura,Auckland, 2582 ,Lot 1 Dp 496998,,100,"rbw amendment – dwelling and garage location revised, complete change of design to dwelling and garage structure and external envelope from originally approved. removing solid fuel heater"
49145,Auckland,Pukekohe,03-Dec-19,PkBCO10299700,37 Patumahoe Road,Pukekohe,Auckland, 2679 ,Lot 3 Dp 83912,,3884,installation of a solid fuel heater to manufacturers specifications
49159,Auckland,Pukekohe,07-Dec-19,PkBCO10299827,100D Axtens Road,Bombay,Auckland, 2675 ,Lot 7 Dp 130111,,2988,installation of a solid fuel heater to manufacturers specifications
49160,Auckland,Pukekohe,07-Dec-19,PkBCO10298749,Waiuku Road,Pukekohe,Auckland, 2678 ,Lot 1 Dp 198040,,5840,consent for installation of solid fuel heater
49470,Otago,Queenstown,30-Jan-19,QBC181740,371 Peninsula Road,Kelvin Heights,Queenstown,  ,,,4800,remove existing fireplace and install new firenzo insert serenity woodburner.
49471,Otago,Queenstown,30-Jan-19,BC181740,371 Peninsula Road,Kelvin Heights,Queenstown,  ,,,4800,remove existing fireplace and install new firenzo insert serenity woodburner.
49627,Otago,Queenstown,28-Feb-19,BC190055,85 Newcastle Road,,Hawea,  ,,,2500,replace existing woodburner with new woodsman brunner mkii wood burner.
49630,Otago,Queenstown,28-Feb-19,BC190106,5 Mallard Street,,Albert Town,  ,,,3400,to have a wood burner installed in the living room of our house
49674,Otago,Queenstown,28-Feb-19,BC181820,609 Mount Barker Road,,Wanaka,  ,,,200000,"renovation of existing house, including existing kitchen, bath1 and laundry. new structural beam by engineer. remove existing two log burners and hwc cylinders, replaced by new one and new radiator central heating system."
49683,Otago,Queenstown,28-Feb-19,BC181781,10 Cooper Crescent,,Luggate,  ,,,300000,new single storey dwelling and attached single garage and log burner
49684,Otago,Queenstown,28-Feb-19,BC190042,1 Cooper Crescent,,Luggate,  ,,,300000,new single storey dwelling and attached double garage and log burner.
49771,Otago,Queenstown,30-Mar-19,AM181576.01,29 Moraine Place,,Lake Hawea,  ,,,100,"amendment: refer to attached sheet with a list of amendments to consent. 29 moraine place, lake hawea to construct a 4 bedroom, 2 bathroom house with attached garage and pellet wood burner"
49772,Otago,Queenstown,30-Mar-19,AM181296.01,696 Peninsula Road,,Kelvin Heights,  ,,,100,"amendment: (new entry addition, new front deck, new kitchen, laundry and wc (at rear of house). new woodburner and new gas fire to replace (existing woodburner). existing council sewer not correctly located on council records. new foundation & subfloor de"
49779,Otago,Queenstown,30-Mar-19,QBC190257,310 Littles Road,Dalefield,Queenstown,  ,,,4000,replacement of woodburner with masport r5000l
49780,Otago,Queenstown,30-Mar-19,QBC190259,26 McChesney Road,,Arthurs Point,  ,,,4000,replace existing yunka multifuel with new metro wood burner + flue (wee rad woody)
49782,Otago,Queenstown,30-Mar-19,QBC190182,113 Totara Terrace,,Wanaka,  ,,,4800,replace existing magnum woodburner with new yunca euro model.
49783,Otago,Queenstown,30-Mar-19,QBC190221,33A Sawmill Road,,Queesntown,  ,,,5000,replace existing pot belly stove with a new woodburner (metro wee rad base)
49785,Otago,Queenstown,30-Mar-19,QBC190071,186 Upton Street,,Wanaka,  ,,,5000,alterations to dwelling: replacement insert wood burner metro smart
49832,Otago,Queenstown,30-Mar-19,QBC190206,Future Lot 262  Magpie Place,Timsfield,,  ,,,238000,"new 3 bedroom dwelling, with woodsman ecr wood fire"
49863,Otago,Queenstown,30-Mar-19,QBC190128,110 Shortcut Road,,Wanaka,  ,,,450000,construction of new 3 bedroom dwelling with attached double garage. installation of woodsman tarras mkii wood fire.
49904,Otago,Queenstown,30-Apr-19,QAM151363.02,1 Nokomai Street,Wanaka,Queenstown,  ,,,100,amendment: minor internal wall alterations. garage door replaced with window and door. changes to bathroom fixture layout. schist veneer cladding deleted from entrance way. cedar slats added to carport wall. woodburner deleted. flashings added.
49923,Otago,Queenstown,30-Apr-19,QBC190133,2/27 Cardrona Valley Road,Cardrona,Queenstown,  ,,,5000,alteration to back country hut: installation of yunca oscar wood burner
49962,Otago,Queenstown,30-Apr-19,QBC190130,Future Lot 11 Moraine Rise,Lake Wanaka,Queenstown,  ,,,283000,"new 3 bedroom dwelling, with attached garage and woodsman woodfire."
49981,Otago,Queenstown,30-Apr-19,QBC190184,9 Isthmus Place,Sentinal Park,Queenstown,  ,,,437177,"construction of a residential dwelling consisting of 4 bedrooms, 2 bathrooms & masport r5000 log burner & double garage"
50026,Otago,Queenstown,30-May-19,QBC190433,4 Stafford Street,,Arrowtown,  ,,,100,installation of a woodburner
50031,Otago,Queenstown,30-May-19,QBC190469,535 Aubrey Road,,Wanaka,  ,,,100,installation of a woodburner
50034,Otago,Queenstown,30-May-19,QBC190514,66 Adamson Drive,,Arrowtown,  ,,,1400,installation of a woodburner
50035,Otago,Queenstown,30-May-19,QBC190476,32 Infinity Drive,,Wanaka,  ,,,1599,installation of a woodburner
50037,Otago,Queenstown,30-May-19,QBC190430,144 Capell Avenue,Hawea,Queenstown,  ,,,2500,installation of a woodburner
50039,Otago,Queenstown,30-May-19,QBC190452,7A Bracken Street,,Arrowtown,  ,,,3000,installation of a woodburner
50040,Otago,Queenstown,30-May-19,QBC190273,83 A Devon Stree,,Queenstown,  ,,,3000,replacement woodburner
50041,Otago,Queenstown,30-May-19,QBC190299,13 Trevathan Lane,,Wanaka,  ,,,3500,replacement woodburner
50042,Otago,Queenstown,30-May-19,QBC190477,7 Maize Street,Hanleys Farm,Queenstown,  ,,,3500,installation of a woodburner
50043,Otago,Queenstown,30-May-19,QBC190330,11 Seffers Way,Arthurs Point,Queenstown,  ,,,3500,replacement woodburner
50044,Otago,Queenstown,30-May-19,QBC190408,808 Kane Road,Hawea Flat,Queenstown,  ,,,4000,replacement woodburner
50045,Otago,Queenstown,30-May-19,QBC190487,2 Boundary Street,,Arrowtown,  ,,,4000,installation of a woodburner
50046,Otago,Queenstown,30-May-19,QBC190416,13 Shanahan Lane,,Arrowtown,  ,,,4000,replacement woodburner
50047,Otago,Queenstown,30-May-19,QBC190444,23 Rob Roy Lane,,Wanaka,  ,,,4000,replacement woodburner
50048,Otago,Queenstown,30-May-19,QBC190407,119 Plantation Road,,Wanaka,  ,,,4000,replacement woodburner
50049,Otago,Queenstown,30-May-19,QBC190445,37 Totara Terrace,,Queenstown,  ,,,4000,replacement woodburner
50050,Otago,Queenstown,30-May-19,QBC190340,16 Centennial Avenue,,Arrowtown,  ,,,4000,replacement woodburner
50051,Otago,Queenstown,30-May-19,QBC190441,6 Olearys Paddock.,,Queenstown,  ,,,4000,replacement woodburner
50055,Otago,Queenstown,30-May-19,QBC190542,917 Frankton Road,,Queenstown,  ,,,5000,installation of a woodburner
50056,Otago,Queenstown,30-May-19,QBC190410,18 Pisa Road,Luggate,Cromwell,  ,,,5000,installation of a woodburner
50058,Otago,Queenstown,30-May-19,QBC190510,18 Rob Roy Lane,,Wanaka,  ,,,5000,installation of a woodburner
50059,Otago,Queenstown,30-May-19,QBC190402,5 Aspinall Street,,Wanaka,  ,,,5000,replacement woodburner
50061,Otago,Queenstown,30-May-19,QBC190530,51 McDonnell Road,,Arrowtown,  ,,,5399,installation of a woodburner
50062,Otago,Queenstown,30-May-19,QBC190558,11 Criterion Street,,Arrowtown,  ,,,5900,installation of a woodburner
50063,Otago,Queenstown,30-May-19,QBC190556,224 Malaghans Road,Whakatipu,Queenstown,  ,,,6000,installation of a woodburner
50064,Otago,Queenstown,30-May-19,QBC181341,70 A Matai Road,,Queenstown,  ,,,6500,installation of a woodburner
50065,Otago,Queenstown,30-May-19,QBC190318,1 Mathias Tce,Arthurs Point,Queenstown,  ,,,7000,installation of a woodburner
50066,Otago,Queenstown,30-May-19,QBC190488,16 Bell Street,Lake Hawea,Wanaka,  ,,,7002,removed a gas fire to install a wood fire.
50073,Otago,Queenstown,30-May-19,QBC190146,622 Ballantyne Road.,,Wanaka,  ,,,12000,remove existing coal range & wetback installed under bc950297(ccc 25.05.14). remove existing wood burner fire installed under bc090402 (ccc 20.07.09). install new wood burner into site of old coal range to use existing flue boxing through first floor.
50201,Otago,Queenstown,30-Jun-19,AM181781.01,10 Cooper Crescent,Luggate,Queenstown,  ,,,100,amendment:  stria cladding change to selected walls -new single storey dwelling and attached single garage and log burner
50202,Otago,Queenstown,30-Jun-19,QBC190502,12A Golden Terrace,Frankton,Queenstown, 9300 ,,,100,alteration to dwelling - installation of bosca limit 380 freestanding woodburner
50206,Otago,Queenstown,30-Jun-19,QBC190685,23 Wellswood Way,Wakatipu Basin,Queenstown, 9371 ,,,1000,"alteration to dwelling - installation of woodsman ecr novo , freestanding, dry, wood burner"
50207,Otago,Queenstown,30-Jun-19,QBC190649,3 Kelliher Drive,,Wanaka, 9305 ,,,2000,"alteration to dwelling - installation of bionic studio , freestanding, dry, wood burner."
50208,Otago,Queenstown,30-Jun-19,QBC190665,43683 Anreca Lane,,Wanaka, 9305 ,,,2500,"alteration to dwelling - installation of metro wee rad leg, freestanding, dry, wood burner"
50209,Otago,Queenstown,30-Jun-19,QBC190679,56 Elm Tree Avenue,Frankton,Queenstown, 9300 ,,,3000,"alteration to dwelling - installation of those galaxy , freestanding, dry, wood burner."
50210,Otago,Queenstown,30-Jun-19,QBC190613,21 Mathias Terrace,Arthurs Point,Queenstown, 9371 ,,,3700,"alteration to dwelling - installation of smart insert metro wood fire, inbuilt, dry, wood burner"
50211,Otago,Queenstown,30-Jun-19,QBC190612,33 Kingston Street,,Albert Town, 9305 ,,,4500,"alteration to the existing dwelling - installation of new masport osburn 1600, freestanding, dry, woodburner"
50212,Otago,Queenstown,30-Jun-19,QBC190658,79 Grandview Road,Hawea,Queenstown, 9382 ,,,5000,alteration to dwelling - installation of masport r3000 ashpan freestanding dry wood burner.
50214,Otago,Queenstown,30-Jun-19,QBC190705,44 Norfolk Street,,Arrowtown, 9302 ,,,5000,"alteration to dwelling - installation of pyroclassic iv , freestanding, dry, wood burner."
50218,Otago,Queenstown,30-Jun-19,QBC190723,69 Centennial Avenue,,Arrowtown, 9302 ,,,6700,"alteration to dwelling - installation of pyroclassic iv , freestanding, dry, woodburner."
50219,Otago,Queenstown,30-Jun-19,QBC190674,1631 Gibbston Highway,,Gibbston, 9371 ,,,8000,"alteration to dwelling - installation of metro fires mega rad , freestanding, dry, wood burner."
50222,Otago,Queenstown,30-Jun-19,QBC190437,6 Cherry Court,,Wanaka, 9305 ,,,10000,"add a new airlock entry area, replace the existing woodburner and add a dormer window to the upstairs bedroom."
50273,Otago,Queenstown,30-Jun-19,QBC190132,Farrant Drive,,Wanaka, 9305 ,,,390000,three bedroom dwelling with log burner
50276,Otago,Queenstown,30-Jun-19,QBC190145,Aubrey Road The Heights Farrant Drive,,Wanaka, 9305 ,Future Lot 140,,410000,three bedroom dwelling with log burner
50316,Otago,Queenstown,30-Jul-19,QAM151180.01,251 Lakeview Terrace,,,  ,,,100,"amendment: new dwelling. amendment to building consent, log burner moved to new location, door removed and alteration to windows layout"
50318,Otago,Queenstown,30-Jul-19,QBC190618,,,,  ,,,1500,"alteration to dwelling - installation of woodsman ecr novo, freestanding, dry, wood burner."
50319,Otago,Queenstown,30-Jul-19,QBC190720,948 Aubrey Road,Albert Town,Wanaka, 9305 ,,,2000,"alteration to dwelling - installation of yunca xander insert, in-built , dry, wood burner"
50320,Otago,Queenstown,30-Jul-19,QBC190713,,,,  ,,,2000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, wood burner"
50322,Otago,Queenstown,30-Jul-19,QBC190657,102 Kings Drive,,Wanaka, 9305 ,,,2100,"alteration to dwelling - installation of woodsman flare box, freestanding, dry, wood burner."
50323,Otago,Queenstown,30-Jul-19,QBC190906,30 Sherwin Avenue,Albert Town,Wanaka, 9305 ,,,2600,"alteration to dwelling - installation of metro xtreme rad-base, freestanding, wood burner."
50324,Otago,Queenstown,30-Jul-19,QBC190867,158A Lower Shotover Road,RD 1,Queenstown, 9371 ,,,2980,"alteration to dwelling - installation of yunca monte base, free standing, wood burner."
50326,Otago,Queenstown,30-Jul-19,QBC190845,,,,  ,,,3500,"alteration to dwelling - installation of woodsman brunner mkii, freestanding, dry, woodburner."
50327,Otago,Queenstown,30-Jul-19,QBC190858,,,,  ,,,4000,"alteration to dwelling - installation of metro classic rad, freestanding woodburner."
50328,Otago,Queenstown,30-Jul-19,QBC190784,,,,  ,,,4000,"alteration to dwelling - installation of woodsman novo, freestanding, dry, wood burner."
50329,Otago,Queenstown,30-Jul-19,QBC190798,,,,  ,,,4000,alteration to existing dwelling - remove old wood burner and install a new free standing masport wanaka wood burner
50331,Otago,Queenstown,30-Jul-19,QBC190807,672 Aubrey Road,,Wanaka, 9305 ,,,5000,"alteration to dwelling - installation of metro tiny ped, free standing, dry, woodburner."
50337,Otago,Queenstown,30-Jul-19,QAM181823.01,,,,  ,,,10000,"amendment: installation of metro wee rad, freestanding, dry, wood burner. removal of non-load bearing wall between kitchen and lounge. alterations to laundry, wc and form new door to hallway. change of slab detail to enclosed carport store area."
50367,Otago,Queenstown,30-Jul-19,QAM181811.01,,,,  ,,,135000,amendment:  removal of existing fireplace and replacement with yunca wood burner. installation of hwc in family room and change bath for shower in bathroom.
50390,Otago,Queenstown,30-Jul-19,QBC190567,Lot 49 Lakefield,Estate Kingston,Queenstown, 9371 ,,,350000,"residential 4 bedroom dwelling.  timber frame construction, lightweight trussed roof, maxraft foundation. new wood burner to be included."
50399,Otago,Queenstown,30-Jul-19,QBC190498,Lot 64 Hikuwai,,Wanaka, 9305 ,,,370000,"new 3 bedroom dwelling, with attached garage and metro ambie wood fire."
50443,Otago,Queenstown,30-Jul-19,QBC190277,9 Big Valley Drive,,,  ,,,876000,"new dwelling with basement level, woodburner and associated services."
50460,Otago,Queenstown,30-Aug-19,QBC190915,4 Leaning Rock Lane,,Wanaka, 9305 ,LOT 147 DP 518869 - 0.028700 Ha CT- 816541,2905100852,1500,"alteration to dwelling - installation of studio steve 14 freestanding, woodburner"
50463,Otago,Queenstown,30-Aug-19,QBC191033,8 Little Oak Common,,Wanaka, 9305 ,Lot 105 DP 24573 - 0.070800 Ha CT- OT16C/496,Lot 105 DP 24573 - 0.070800 Ha CT- OT16C/496,3000,"alteration to dwelling - installation of yunca oscar, free standing, wood burner."
50464,Otago,Queenstown,30-Aug-19,QBC190865,9 Totara Terrace,,Wanaka, 9305 ,Lot 8 DP 25759 - 0.078100 Ha CT- OT17D/550,2905244708,3200,"alteration to dwelling - installation of woodsman brunner mk ii,  free standing, woodburner fitted with the wetback."
50465,Otago,Queenstown,30-Aug-19,QBC190986,60 Stewart Street,Frankton,Queenstown, 9300 ,Lot 2 DP 18244 - 0.040000 Ha CT- OT9A/1097,2910107600,4000,"alteration to dwelling - installation of yunca hobson, free standing, woodburner"
50474,Otago,Queenstown,30-Aug-19,QBC190994,241 Beacon Point Road,,Wanaka, 9305 ,Lot 8 DP 300333 - 0.504800 Ha CT- 2180,2905101909,10000,"alteration to dwelling - installation of metro eco mega smart built in, woodburner."
50483,Otago,Queenstown,30-Aug-19,QBC190859,3 Old Dairy Close,,Glenorchy, 9372 ,Lot 20 DP 406843 - 0.085900 Ha CT- 423873,2911119925,27580,"construction of foundation, deck, connection to site services and installation of wood burner. prefabricated relocatable home built at genius homes factory and transported to site. house is to be built in two parts and connected on site."
50519,Otago,Queenstown,30-Aug-19,QBC190965,17 The Terrace,,Queenstown, 9300 ,Lot 12 DP 12596 - 0.055400 Ha CT- OT5D/386,2910404100,300000,"alterations and additions: extend deck over existing garage, replace existing wood burner with gas fire, add new gas fire to bedroom 2, replace selected door & window frames and partially re-clad."
50584,Otago,Queenstown,30-Sep-19,QBC191083,105 Capell Avenue,,Lake Hawea, 9382 ,,,2000,alteration to dwelling - replacement of existing fireplace with masport woodburner. removal of short wall next to woodburner and install new beam to carry load of floor joist above. shorten hot water cupboard wall.
50590,Otago,Queenstown,30-Sep-19,QBC190751,5954 Haast Pass-Makarora Road,,Makarora, 9382 ,,,5000,replace and install new wood burner with a wetback
50591,Otago,Queenstown,30-Sep-19,QBC191096,69 B Bills Way,,Wanaka, 9305 ,,,6000,"alteration to dwelling - installation of metro r1, free standing, woodburner."
50592,Otago,Queenstown,30-Sep-19,QBC191140,13 Cornwall Street,,Arrowtown, 9302 ,,,6000,"alteration to dwelling - replacement of existing fireplace with pyroclassic mini, free standing, woodburner"
50732,Otago,Queenstown,30-Oct-19,QBC191275,411 Littles Road,Wakatipu,Queenstown, 9371 ,,,2000,alteration: old wood burner replaced by new free-standing metro tiny rad wood fire
50735,Otago,Queenstown,30-Oct-19,QBC191217,11 Adelaide Street,,Queenstown, 9300 ,,,4000,alteration to dwelling: remove old wood burner install a new metro smart insert
50736,Otago,Queenstown,30-Oct-19,QBC191192,10 Sandys Lane,,Albert Town, 9305 ,,,5000,"alteration to dwelling - installation of jayline fr400, free standing, woodburner."
50738,Otago,Queenstown,30-Oct-19,QAM181677.02,64 Grant Road,North Rotary,Queenstown,  ,,,5000,"amendment: install metro big rad square wood burner in departure lounge (64 grant road, north rotary, queenstown)."
50786,Otago,Queenstown,30-Oct-19,QBC190838,40 Coronet Peak Station Road,Wakatipu,Queenstown, 9371 ,,,120000,"refurbishment of the existing cottage and addition of pyroclassic, freestanding woodburner."
50807,Otago,Queenstown,30-Oct-19,QBC191081,162 Hansen Road,Wakatipu,Queenstown, 9371 ,,,350000,"construction of two storey detached dwelling with carport, shed and woodburner."
50906,Otago,Queenstown,30-Nov-19,BC190919,155 Beacon Point Road,,Wanaka, 9305 ,,,2100,"alteration to dwelling - installation of metro eco tiny ped, free standing, wood burner."
50907,Otago,Queenstown,30-Nov-19,BC190696,17 Totara Terrace,,Wanaka, 9305 ,,,2400,"alteration to dwelling - installation of masport wanaka, freestanding, dry, wood burner"
50908,Otago,Queenstown,30-Nov-19,BC191338,33B Devon Street,,Arrowtown, 9302 ,,,2500,"alteration to dwelling - replacement of existing wood burner with logaire rural hestia 2 clean air free standing, wood burner."
50910,Otago,Queenstown,30-Nov-19,BC191270,716 Peninsula Road,Kelvin Heights,Queenstown, 9300 ,,,4000,"alteration to dwelling - removal of old wood burner and replacement with metro xtreme rad, free standing, wood burner."
50911,Otago,Queenstown,30-Nov-19,BC191330,84 Infinity Drive,,Wanaka, 9305 ,,,5000,"alteration to dwelling - replacement of log burner with masport mackenzie r10000 dry free-standing, wood burner."
50912,Otago,Queenstown,30-Nov-19,BC190981,9 Thomson Street,,Arrowtown, 9302 ,,,5000,"alteration to dwelling - installation of metro wee rad, free standing, wood burner."
50913,Otago,Queenstown,30-Nov-19,BC191341,8 Preston Drive,,Arrowtown, 9302 ,,,6000,"alteration to dwelling - removal of existing fireplace and replacement with pyroclassic mini, free standing wood burner."
51042,Otago,Queenstown,30-Dec-19,QBC191264,8 Allenby Place,,Wanaka, 9305 ,,,3200,"alteration to dwelling - addition of woodsman tarras mkiii, free standing, woodburner."
51047,Otago,Queenstown,30-Dec-19,QBC191526,4 Meadowstone Drive,,Wanaka, 9305 ,,,5000,alteration to dwelling - replacing log burner with a new install firenzo bronte ag dry freestanding. woodburner.
51048,Otago,Queenstown,30-Dec-19,QBC191459,22B Daveys Place,,Arrowtown, 9302 ,,,6000,"alteration to dwelling - replacement of existing fire with pyroclassic mini, free standing, woodburner."
51204,Wellington,Rangitikei,30-Jan-19,RaJan19/2,25 Ongo Road,,Hunterville,  ,,,360000,"build a 3 bedroom dwelling with freestanding woodfire, attached garage, coloursteel roof,
weatherboard cladding on a concrete slab, timber floor and decks."
51226,Wellington,Rangitikei,30-Mar-19,RaMar/192,79 Brightwell Road,,Marton,  ,,,375000,"construct a new 4 bedroom dwelling with ensuite, double garage, freestanding woodfire, effluent system and implement shed measuring 12m x 6m."
51312,Wellington,Rangitikei,30-Oct-19,RaOct19/6,169 Neumans Line,,,  ,,,100000,"54sqm addition to dwelling of living room, change kitchen position, freestanding masport woodfire and insulation"
