,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
31459,Manawatu-Whanganui,Manawatu,30-Sep-20,Mw130290*1,1104 Lockwood Road,,,1104 Lockwood Road  ,  ,,14430*279*01*,6700,install a metro xtreme rad legs freestanding wood fire
31460,Manawatu-Whanganui,Manawatu,30-Sep-20,Mw130234*1,132 Taonui Road,,,132 Taonui Road  ,  ,,14020*136*05*,7000,inbuilt firenzo kompac forte wood fire
31503,Manawatu-Whanganui,Manawatu,30-Oct-20,Mw130368*1,486 Renfrew Road,,Manawatu,486 Renfrew Road  Manawatu,  ,,13860*208*00*,1500,replace wagener wood burner with new
31508,Manawatu-Whanganui,Manawatu,30-Oct-20,Mw130423*1,13 Course Lane,,Manawatu,13 Course Lane  Manawatu,  ,,14140*025*02*,6400,supply and install a masport r3000 wood fire in lounge.
31509,Manawatu-Whanganui,Manawatu,30-Oct-20,Mw130350*1,85 Dundas Road,,Manawatu,85 Dundas Road  Manawatu,  ,,14140*120*00*,7000,install metro wee rad wood fire in lounge and connect to existing wetback.
31550,Manawatu-Whanganui,Manawatu,30-Nov-20,Mw130492*1,163 Cole Road,,,163 Cole Road  ,  ,,14250*148*02*,6000,metro wee rad legs ca woodfire  in lounge
31555,Manawatu-Whanganui,Manawatu,30-Nov-20,Mw130431*1,36 Shelton Place,,,36 Shelton Place  ,  ,,14091*272*00*,8000,yunca oscar ca woodfire in living room
31586,Manawatu-Whanganui,Manawatu,30-Nov-20,Mw130440*1,130 Mt Biggs Road,,,130 Mt Biggs Road  ,  ,,13990*165*04*,530000,"new 4 bedroom dwelling, with wood burner and attached triple garage"
31596,Manawatu-Whanganui,Manawatu,30-Dec-20,Mw130615*1,82 Himatangi Beach Road,,,82 Himatangi Beach Road  ,  ,,,4700,install freestanding woodfire in lounge area
31597,Manawatu-Whanganui,Manawatu,30-Dec-20,Mw130589*1,40 Mccorkindale Street,,,40 Mccorkindale Street  ,  ,,,4900,installation of jayline fr300 to replace existing woodfire
31598,Manawatu-Whanganui,Manawatu,30-Dec-20,Mw130565*1,29 Koputara Road,,,29 Koputara Road  ,  ,,,4900,installation of masport r1500 wood fire to  replace existing
31599,Manawatu-Whanganui,Manawatu,30-Dec-20,Mw130520*1,11 Punga Street,,,11 Punga Street  ,  ,,,5400,installation of yunca monte ca free standing wood fire
31605,Manawatu-Whanganui,Manawatu,30-Dec-20,Mw130385*1,806 Pohangina Road,,,806 Pohangina Road  ,  ,,,15000,"add plumbing fixtures to existing spaces, install wood burner."
31614,Manawatu-Whanganui,Manawatu,30-Dec-20,Mw130470*1,84 Nannestads Line,,,84 Nannestads Line  ,  ,,,40000,"internal bathroom and laundry alteration, internal bedroom extension. new opening between dining and kitchen. installing new woodburner ltd extreme rad woody, 20kw."
31645,Auckland,Manukau,6-Jan-20,MBCO10298748,14 Pinehurst Place,Wattle Downs,Auckland,14 Pinehurst Place Wattle Downs Auckland,2103,Lot 95 Dp 76232,,200000,rbw - the external walls by the front door will be pushed out under the existing roof line. also existing bedroom to be converted into a walk in wardrobe and en-suite. new gas fire to replace existing solid fuel heater.
31734,Auckland,Manukau,15-Jan-20,MBCO10301524,20 Glen Avenue,Papatoetoe,Auckland,20 Glen Avenue Papatoetoe Auckland,2025,Lot 4 Dp 39308,,4800,sfh - install insert woodfire and flue
31762,Auckland,Manukau,17-Jan-20,MBCO10300641,2 Crossland Place,Maraetai,Auckland,2 Crossland Place Maraetai Auckland,2018,"Lot 5 Dp 193418, 1/53 Sh Lot 36 Dp 193418",,400000,"rbw - reclad - alterations: wall and roof cladding replacement, 2x level 1 balcony refurbishments, level 1 internal wet area refurbishment, external joinery replacement, solid fuel heater along with miscellaneous minor alterations."
31925,Auckland,Manukau,7-Feb-20,MBCO10302261,6 Miles Avenue,Papatoetoe,Auckland,6 Miles Avenue Papatoetoe Auckland,2025,Lot 2 Dp 47245,,2049,installation of a solid fuel heater to manufacturers specifications.
31972,Auckland,Manukau,11-Feb-20,MBCO10301483,118 Second View Avenue,Beachlands,Auckland,118 Second View Avenue Beachlands Auckland,2018,Lot 380 Dp 20116,,40000,"rbw - onsite works include foundations (seds), decks, steps & connections to all services, also a wood burner. the proposed new 121m2 dwelling is currently been built in huntly. upon completion the wdc will issue a ccc & the house will be transported."
32059,Auckland,Manukau,17-Feb-20,MBCO10302984,2/13A Sandspit Road,Shelly Park,Auckland,2/13A Sandspit Road Shelly Park Auckland,2014,"Lot 3 Dp 164085, Area 2 Dp 449507",,6000,sfh - install freestanding woodfire & flue
32068,Auckland,Manukau,17-Feb-20,MBCO10299822-2,1 Taitaia Lane,Clevedon,Auckland,1 Taitaia Lane Clevedon Auckland,2582,Lot 3 Dp 529139,,485000,"rbw - stage 2 of 2. new single level dwelling with three bedrooms, solid fuel heater, swimming pool & pool fencing (proposed address : lot 3 1 taitaia lane, clevedon)."
32117,Auckland,Manukau,19-Feb-20,MBCO10302983,408 Twilight Road,Brookby,Auckland,408 Twilight Road Brookby Auckland,2576,Lot 2 Dp 461422,,3500,sfh - install freestanding woodfire and flue
32118,Auckland,Manukau,19-Feb-20,MBCO10303293,1078 Clevedon Kawakawa Road,Clevedon,Auckland,1078 Clevedon Kawakawa Road Clevedon Auckland,2585,Pt Lot 1 Dp 72814,,4089,installation of a solid fuel heater to manufacturers specifications.
32122,Auckland,Manukau,19-Feb-20,MBCO10302196,92A Beach Road,Mellons Bay,Auckland,92A Beach Road Mellons Bay Auckland,2014,Lot 1 Dp 133377,,19900,"rbw - remove existing wood burner and wall between kitchen and lounge, relocate small lounge wall replace existing kitchen"
32194,Auckland,Manukau,25-Feb-20,MBCO10303481,51 Finnerty Avenue,Howick,Auckland,51 Finnerty Avenue Howick Auckland,2014,Lot 6 Dp 63497,,3139,sfh - installation of a solid fuel heater and flue system
32233,Auckland,Manukau,27-Feb-20,MBCO10303561,19 Clendon Avenue,Papatoetoe,Auckland,19 Clendon Avenue Papatoetoe Auckland,2025,Lot 12 Dp 18630,,5385,sfh - installation of a solid fuel heater and flue system
32269,Auckland,Manukau,2-Mar-20,MBCO10303896,57 First View Avenue,Beachlands,Auckland,57 First View Avenue Beachlands Auckland,  ,Lot 302 Dp 19571,,4000,dsf - installation of a solid fuel heater to manufacturers specifications
32311,Auckland,Manukau,4-Mar-20,MBCO10304123,7 Allen Avenue,Papatoetoe,Auckland,7 Allen Avenue Papatoetoe Auckland,  ,Lot 17 Dp 38222,,4710,sfh - installation of a solid fuel heater to manufacturers specifications
32439,Auckland,Manukau,16-Mar-20,MBCO10303939,272 Clevedon Kawakawa Road,Clevedon,Auckland,272 Clevedon Kawakawa Road Clevedon Auckland,  ,"Lot 1 Dp 33480, Lot 1 Dp 118606",,5400,sfh - install freestanding replacement woodfire and connect wetback to existing pipework
32507,Auckland,Manukau,20-Mar-20,MBCO10301742,76 Solway Road,Whitford,Auckland,76 Solway Road Whitford Auckland,  ,"1/4 Sh Lot 503 Dp 495622, Lot 6 Dp 495622, 1/6 Sh Lot 40 Dp 495622",,1000000,"rbw - new dwelling, 4 bedroom, 400+ square metres, 2 car garage, and sleepout. solid fuel heater."
32531,Auckland,Manukau,30-Mar-20,MBCO10305083,70 Millen Avenue,Pakuranga,Auckland,70 Millen Avenue Pakuranga Auckland,  ,Lot 2 Dp 48671,,5500,installation of an free standing solid fuel heater kent cardrona
32537,Auckland,Manukau,31-Mar-20,MBCO10305082,4 Caspar Road,Papatoetoe,Auckland,4 Caspar Road Papatoetoe Auckland,  ,Lot 240 Dp 525488,,3800,"sfh - to supply and install a new masport r1200 leg wood fire, flue, and hearth with decktite aquaseal flashing"
32580,Auckland,Manukau,6-Apr-20,MBCO10305644,20 Ferndale Drive,Kawakawa Bay,Auckland,20 Ferndale Drive Kawakawa Bay Auckland,2585,Lot 23 Dp 88251,,4512,installation of a solid fuel heater to manufacturers specifications
32618,Auckland,Manukau,14-Apr-20,MBCO10303421,4 Te Makuru Lane,Maraetai,Auckland,4 Te Makuru Lane Maraetai Auckland,2018,Lot 26 Dp 472362,,975000,"rbw: new two-storey, three-bedroom dwelling with office, firenzo athena wood fire and double internal access garage. site works include public drain bridging, retaining walls and private drainage incl. sw tanks."
32622,Auckland,Manukau,15-Apr-20,MBCO10305784,110 Trig Road,Whitford,Auckland,110 Trig Road Whitford Auckland,2571,Lot 3 Dp 3615,,4000,sfh - install inbuilt woodfire and flue
32648,Auckland,Manukau,20-Apr-20,MBCO10302329,51 Maraetai Heights Road,Maraetai,Auckland,51 Maraetai Heights Road Maraetai Auckland,2018,Lot 111 Dp 41214,,700000,"rbw - alterations & additions to existing dwelling. extension & reconfigure to create 5x bedrooms, open plan living, kitchen and dining room. solid fuel heater. carport and spa house. new concrete pool. new deck and steps. concrete block reta"
32695,Auckland,Manukau,23-Apr-20,MBCO10305165,14 Third View Avenue,Beachlands,Auckland,14 Third View Avenue Beachlands Auckland,2018,Lot 438 Dp 19523,,430000,"rbw - construction of single level dwelling with detached garage (by versatile), solid fuel heater &  2x partially buried water supply tanks."
32787,Auckland,Manukau,7-May-20,MBCO10306649,63 Church Road,Mangere Bridge,Auckland,63 Church Road Mangere Bridge Auckland,2022,Lot 2 Dp 47457,,5061,dbc sfh - installation of a solid fuel heater to manufacturers specifications
32805,Auckland,Manukau,11-May-20,MBCO10306915,26 Sunnyside Crescent,Papatoetoe,Auckland,26 Sunnyside Crescent Papatoetoe Auckland,2025,Lot 5 Dp 44458,,3500,sfh - to supply and install a new masport bannockburn i2000 inbuilt wood fire. to install a new stainless flue system through the chimney to exterior and cap off with new stainless cowl set.
32818,Auckland,Manukau,13-May-20,MBCO10307352,92 Brownhill Road,Whitford,Auckland,92 Brownhill Road Whitford Auckland,2576,Lot 1 Dp 148527,,2364,installation of a solid fuel heater to manufacturers specifications
32829,Auckland,Manukau,14-May-20,MBCO10307308,64A Browns Road,Manurewa,Auckland,64A Browns Road Manurewa Auckland,2102,Lot 2 Dp 489208,,1950,installation of a solid fuel heater to manufacturers specifications
32831,Auckland,Manukau,14-May-20,MBCO10307306,2/482 Porchester Road,Alfriston,Auckland,2/482 Porchester Road Alfriston Auckland,2105,"Lot 50 Dp 132174, Flat 2 Dp 150023",,7046,installation of a solid fuel heater to manufacturers specifications
32863,Auckland,Manukau,19-May-20,MBCO10307397,51 Papakura-Clevedon Road,Clevedon,Auckland,51 Papakura-Clevedon Road Clevedon Auckland,2582,Lot 5 Dp 94107,,4000,install freestanding woodfire and flue
32864,Auckland,Manukau,19-May-20,MBCO10307358,59 Angelo Avenue,Howick,Auckland,59 Angelo Avenue Howick Auckland,2014,Lot 94 Dp 52927,,4443,installation of a solid fuel heater to manufacturers specifications
32865,Auckland,Manukau,19-May-20,MBCO10307443,132A Whitford Road,Northpark,Auckland,132A Whitford Road Northpark Auckland,2014,"Lot 6 Dp 119354, Flat 1 Dp 144421",,4500,sfh - install freestanding woodfire and flue
32931,Auckland,Manukau,26-May-20,MBCO10307802,2 Perth Street,Otara,Auckland,2 Perth Street Otara Auckland,2023,Lot 4 Dp 50344,,4500,dsfh - install freestanding woodfire and flue
32981,Auckland,Manukau,2-Jun-20,MBCO10307952,10 Advene Road,Cockle Bay,Auckland,10 Advene Road Cockle Bay Auckland,2014,Lot 39 Dp 60315,,4000,replace wood burner
32999,Auckland,Manukau,3-Jun-20,MBCO10308054,1/10 York Road,Papatoetoe,Auckland,1/10 York Road Papatoetoe Auckland,2104,"Lot 32 Dp 18610, Flat 1 Dp 131454",,4733,installation of a solid fuel heater to manufacturers specifications
33016,Auckland,Manukau,4-Jun-20,MBCO10308075,86 Park Avenue,Papatoetoe,Auckland,86 Park Avenue Papatoetoe Auckland,2025,Lot 3 Dp 42910,,4000,dbc sfh - installation of freestanding woodfire and flue
33078,Auckland,Manukau,11-Jun-20,MBCO10308159,28 Claymore Street,Manurewa,Auckland,28 Claymore Street Manurewa Auckland,  ,Lot 391 Dp 54585,,3800,sfh - installation of new woodfire
33103,Auckland,Manukau,15-Jun-20,MBCO10308413,1/119 Sandspit Road,Shelly Park,Auckland,1/119 Sandspit Road Shelly Park Auckland,2014,"Flat 1 Dp 175762, Lot 17 Dp 54123",,4000,install freestanding woodfire and flue
33104,Auckland,Manukau,15-Jun-20,MBCO10308475,1/21 Luplau Crescent,Howick,Auckland,1/21 Luplau Crescent Howick Auckland,2014,"Lot 1 Dp 40663, Flat 1 Dp 158496",,4500,dsfh - install freestanding woodfire and flue
33105,Auckland,Manukau,15-Jun-20,MBCO10308365,100 Lawrence Crescent,Hill Park,Auckland,100 Lawrence Crescent Hill Park Auckland,2102,Lot 246 Dp 54714,,4500,install freestanding woodfire and flue
33106,Auckland,Manukau,15-Jun-20,MBCO10308414,289 Point View Drive,East Tamaki Heights,Auckland,289 Point View Drive East Tamaki Heights Auckland,2016,Pt Lot 5 Dp 42248,,5000,install freestanding woodfire and flue
33124,Auckland,Manukau,16-Jun-20,MBCO10308742,36 Weymouth Road,Manurewa,Auckland,36 Weymouth Road Manurewa Auckland,2102,Pt Lot 1 Dp 39862,,4000,dsfh - installation of new woodfire
33125,Auckland,Manukau,16-Jun-20,MBCO10308736,41 Aarts Avenue,Manurewa,Auckland,41 Aarts Avenue Manurewa Auckland,2102,Lot 232 Dp 62811,,4000,sfh - install freestanding woodfire and flue
33127,Auckland,Manukau,16-Jun-20,MBCO10308734,115 First View Avenue,Beachlands,Auckland,115 First View Avenue Beachlands Auckland,2018,Lot 364 Dp 20116,,5000,sfh - install freestanding woodfire and flue
33128,Auckland,Manukau,16-Jun-20,MBCO10308744,37 Estuary Road,Weymouth,Auckland,37 Estuary Road Weymouth Auckland,2103,Lot 4 Dp 44280,,5000,installation of new woodfire
33129,Auckland,Manukau,16-Jun-20,MBCO10308582,40 Kenderdine Road,Papatoetoe,Auckland,40 Kenderdine Road Papatoetoe Auckland,2025,Lot 1 Dp 48658,,5453,dsfh - installation of a solid fuel heater to manufacturers specifications
33140,Auckland,Manukau,17-Jun-20,MBCO10308565,169 Carnoustie Drive,Wattle Downs,Auckland,169 Carnoustie Drive Wattle Downs Auckland,2103,Lot 369 Dp 81439,,3300,sfh - installation of new woodfire
33141,Auckland,Manukau,17-Jun-20,MBCO10308529,121 McGregor Road,Clevedon,Auckland,121 McGregor Road Clevedon Auckland,2582,Lot 1 Dp 172859,,3800,installation of new woodfire
33143,Auckland,Manukau,17-Jun-20,MBCO10308474,170 Mellons Bay Road,Mellons Bay,Auckland,170 Mellons Bay Road Mellons Bay Auckland,2014,Lot 2 Dp 38236,,5000,dsfh - install insert woodfire and flue
33144,Auckland,Manukau,17-Jun-20,MBCO10308476,28 Columbia Crescent,Beachlands,Auckland,28 Columbia Crescent Beachlands Auckland,2018,Lot 55 Dp 341769,,6000,to supply and install a new masport akaroa freestanding wood fire and flue with aquaseal tile flashing.
33192,Auckland,Manukau,22-Jun-20,MBCO10308654,53 Greenmeadows Avenue,Manurewa,Auckland,53 Greenmeadows Avenue Manurewa Auckland,2102,Lot 126 Dp 50863,,100,to supply and install a new masport bannockburn i2000 insert wood fire and flue
33193,Auckland,Manukau,22-Jun-20,MBCO10308978,89 Sovereign Street,Flat Bush,Auckland,89 Sovereign Street Flat Bush Auckland,2016,Lot 2 Dp 377348,,3000,dsfh - install freestanding woodfire and flue
33195,Auckland,Manukau,22-Jun-20,MBCO10308155,38A Browns Road,Manurewa,Auckland,38A Browns Road Manurewa Auckland,2102,"Lot 1 Dp 71329, Flat 1 Dp 74297",,4000,dsfh - install freestanding woodfire and flue
33196,Auckland,Manukau,22-Jun-20,MBCO10309051,1019 Clevedon Kawakawa Road,Clevedon,Auckland,1019 Clevedon Kawakawa Road Clevedon Auckland,2585,"Sect 10 Blk V Surd Wairoa, Pt Lot 1 Dp 22643, Pt Lot 2 Dp 22643, Lot 3 Dp 22643",,4709,installation of a solid fuel heater to manufacturers specifications
33197,Auckland,Manukau,22-Jun-20,MBCO10309100,13 Ashley Avenue,Mangere East,Auckland,13 Ashley Avenue Mangere East Auckland,2024,Lot 101 Dp 53350,,4837,dsfh - installation of a solid fuel heater to manufacturers specifications
33207,Auckland,Manukau,23-Jun-20,MBCO10308527,45 Victoria Road,Papatoetoe,Auckland,45 Victoria Road Papatoetoe Auckland,2025,Lot 6 Dp 19874,,3800,to remove current inbuilt wood fire. then to supply and install a new kent inbuilt log fire and flue.
33208,Auckland,Manukau,23-Jun-20,MBCO10309191,4 Muirfield Street,Wattle Downs,Auckland,4 Muirfield Street Wattle Downs Auckland,2103,Lot 634 Dp 77225,,4000,dsfh - installation of new woodfire
33209,Auckland,Manukau,23-Jun-20,MBCO10308076,30 Ness Valley Road,Clevedon,Auckland,30 Ness Valley Road Clevedon Auckland,2585,Lot 1 Dp 133077,,5000,installation of new wetback woodfire
33229,Auckland,Manukau,24-Jun-20,MBCO10309345,50 Moumoukai Hill Road,Clevedon,Auckland,50 Moumoukai Hill Road Clevedon Auckland,2585,Lot 1 Dp 156101,,3500,dsfh - install freestanding woodfire and flue kit
33230,Auckland,Manukau,24-Jun-20,MBCO10309344,37 Bell Road,Beachlands,Auckland,37 Bell Road Beachlands Auckland,2018,Lot 664 Dp 20116,,4500,dsfh - install freestanding masport akaora woodfire and flue
33231,Auckland,Manukau,24-Jun-20,MBCO10309216,265 Ara-Kotinga,Whitford,Auckland,265 Ara-Kotinga Whitford Auckland,2576,Lot 1 Dp 398982,,4500,dsfh - install woodfire and flue into existing fireplace
33276,Auckland,Manukau,29-Jun-20,MBCO10309342,28B Borrowdace Avenue,Botany Downs,Auckland,28B Borrowdace Avenue Botany Downs Auckland,2010,"Flat 2 Dp 68787, Lot 1 Dp 356041",,3000,install freestanding woodfire and flue
33292,Auckland,Manukau,30-Jun-20,MBCO10309744,28 Gracechurch Drive,Flat Bush,Auckland,28 Gracechurch Drive Flat Bush Auckland,2016,Lot 30 Dp 75076,,3500,install freestanding woodfire and flue
33355,Auckland,Manukau,7-Jul-20,MBCO10309335,22 Tainui Road,Cockle Bay,Auckland,22 Tainui Road Cockle Bay Auckland,2014,Lot 1 Dp 94564,,4000,install freestanding woodfire and flue
33392,Auckland,Manukau,9-Jul-20,MBCO10309943,2/8 Morrow Avenue,Bucklands Beach,Auckland,2/8 Morrow Avenue Bucklands Beach Auckland,2012,"Lot 1 Dp 123418, Flat 2 Dp 130432",,100,install freestanding masport akaora woodfire and flue
33393,Auckland,Manukau,9-Jul-20,MBCO10309902,12 Channing Crescent,Botany Downs,Auckland,12 Channing Crescent Botany Downs Auckland,2010,"Lot 60 Dp 125431, 1/3 Sh Lot 189 Dp 125431",,3500,install freestanding woodfire and flue
33394,Auckland,Manukau,9-Jul-20,MBCO10310092,23 Selwyn Road,Howick,Auckland,23 Selwyn Road Howick Auckland,2014,Lot 1 Dp 52543,,4700,dsfh - to supply and install a new firenzo vision freestanding woodfire and flue.
33411,Auckland,Manukau,13-Jul-20,MBCO10310260,17 Kea Place,Mangere Bridge,Auckland,17 Kea Place Mangere Bridge Auckland,2022,Lot 19 Dp 61380,,4500,to install a new freestanding masport r5000 ashpan wood fire with flue. to install a decktite aquaseal tile flashing. to install a hearth floor protector.
33412,Auckland,Manukau,13-Jul-20,MBCO10310209,61 Lawrence Crescent,Hill Park,Auckland,61 Lawrence Crescent Hill Park Auckland,2102,Lot 277 Dp 54714,,5982,dsfh - installation of a solid fuel heater to manufacturers specifications
33419,Auckland,Manukau,14-Jul-20,MBCO10310155,9 Fenton Terrace,Cockle Bay,Auckland,9 Fenton Terrace Cockle Bay Auckland,2014,Lot 1 Dp 99233,,4600,sfh - install freestanding woodfire and flue
33422,Auckland,Manukau,14-Jul-20,MBCO10310153,10 Rochester Crescent,Howick,Auckland,10 Rochester Crescent Howick Auckland,2014,"Lot 59 Dp 155301, 1/2 Sh Lot 58 Dp 155301",,6000,sfh - install freestanding woodfire and flue.
33434,Auckland,Manukau,15-Jul-20,MBCO10310096,86 Whites Road,Whitford,Auckland,86 Whites Road Whitford Auckland,2571,Lot 1 Dp 184431,,100000,"rbw - alterations - loggia, deck, wood fire and associated landscaping."
33457,Auckland,Manukau,17-Jul-20,MBCO10310594,14 Tarata Crescent,Mangere,Auckland,14 Tarata Crescent Mangere Auckland,2022,Lot 12 Dp 47042,,4768,dsfh - installation of an insert solid fuel heater (bannockburn i2000) to manufacturers specifications
33458,Auckland,Manukau,17-Jul-20,MBCO10310591,133 Tidal Road,Mangere,Auckland,133 Tidal Road Mangere Auckland,2022,Lot 42 Dp 51920,,5000,installation of in-built solid wood burner - jayline is550
33477,Auckland,Manukau,21-Jul-20,MBCO10310722,4 Maynard Place,Mangere Bridge,Auckland,4 Maynard Place Mangere Bridge Auckland,2022,Lot 19 Dp 68881,,4500,sfh - install freestanding woodfire and flue
33493,Auckland,Manukau,22-Jul-20,MBCO10310658,1/15 Luplau Crescent,Howick,Auckland,1/15 Luplau Crescent Howick Auckland,2014,"Lot 1 Dp 57973, Flat 1 Dp 96706",,4500,install freestanding woodfire and flue
33495,Auckland,Manukau,22-Jul-20,MBCO10310723,21 Masefield Street,Howick,Auckland,21 Masefield Street Howick Auckland,2014,Lot 10 Deeds Whau 69,,5000,install insert woodfire and flue into existing fireplace.
33565,Auckland,Manukau,29-Jul-20,MBCO10311200,4 Ashcroft Avenue,Mangere Bridge,Auckland,4 Ashcroft Avenue Mangere Bridge Auckland,2022,Lot 6 Dp 61671,,4998,installation of solid wood burner
33577,Auckland,Manukau,30-Jul-20,MBCO10311067,64 Redoubt Road,Manukau Central,Auckland,64 Redoubt Road Manukau Central Auckland,2105,"Lot 186 Dp 93808, 1/7 Sh Lot 191 Dp 93808",,4500,installation of new woodfire
33584,Auckland,Manukau,31-Jul-20,MBCO10310902,4 Clovelly Road,Bucklands Beach,Auckland,4 Clovelly Road Bucklands Beach Auckland,2012,Lot 1 Dp 158600,,5000,"sfh - install insert woodfire and flue into existing fireplace (dwelling c1, 16 musick point road)"
33595,Auckland,Manukau,10-Aug-20,MBCO10310970,2/115 Wattle Farm Road,Wattle Downs,Auckland,2/115 Wattle Farm Road Wattle Downs Auckland,2103,"Lot 655 Dp 81144, Flat 2 Dp 119685",,4500,installation of solid fuel heater
33637,Auckland,Manukau,13-Aug-20,MBCO10311806,44 Waimai Avenue,Weymouth,Auckland,44 Waimai Avenue Weymouth Auckland,2103,Lot 83 Dp 17301,,3500,to install a new freestanding masport freestanding wood fire with flue. to install a decktite aquaseal tile flashing. to install a hearth floor protector.
33638,Auckland,Manukau,13-Aug-20,MBCO10311785,46 Waimai Avenue,Weymouth,Auckland,46 Waimai Avenue Weymouth Auckland,2103,Lot 82 Dp 17301,,3500,to install a new freestanding masportwood fire with flue. to install a decktite aquaseal tile flashing. to install a hearth floor protector.
33639,Auckland,Manukau,13-Aug-20,MBCO10311653,41 Rochester Crescent,Howick,Auckland,41 Rochester Crescent Howick Auckland,2014,Lot 34 Dp 155302,,4500,dsfh - install freestanding metro wee ped woodfire  and flue
33643,Auckland,Manukau,14-Aug-20,MBCO10311857,20 Solent Street,Mangere,Auckland,20 Solent Street Mangere Auckland,2022,Lot 41 Dp 57012,,100,sfh - installation of an insert solid fuel heater and flue system
33644,Auckland,Manukau,14-Aug-20,MBCO10311763,35 Waterlea Avenue,Mangere Bridge,Auckland,35 Waterlea Avenue Mangere Bridge Auckland,2022,Lot 9 Dp 58746,,4500,install freestanding bosca 360 woodfire and flue
33646,Auckland,Manukau,14-Aug-20,MBCO10311702,112 Clovelly Road,Bucklands Beach,Auckland,112 Clovelly Road Bucklands Beach Auckland,2012,Lot 36 Dp 17870,,5000,to remove existing wood fire and replace with a new masport akaroa free standing wood fire and flue.
33660,Auckland,Manukau,17-Aug-20,MBCO10311778,61 Wordsworth Road,Manurewa,Auckland,61 Wordsworth Road Manurewa Auckland,2102,Lot 278 Dp 61598,,4500,dsfh - install freestanding masport r3000 pedestal woodfire and flue
33678,Auckland,Manukau,18-Aug-20,MBCO10312251,25 Chingford Close,Mangere,Auckland,25 Chingford Close Mangere Auckland,2022,Lot 126 Dp 59929,,1915,dsfh - installation of a freestanding solid fuel heater to manufacturers specifications - metro wee ped
33679,Auckland,Manukau,18-Aug-20,MBCO10312241,5 Tennessee Avenue,Mangere East,Auckland,5 Tennessee Avenue Mangere East Auckland,2024,Lot 36 Dp 8695,,3000,dsfh - installation of insert wood burner - ethos ares
33710,Auckland,Manukau,20-Aug-20,MBCO10311284,6 Kelly Place,Howick,Auckland,6 Kelly Place Howick Auckland,2014,Lot 12 Dp 50189,,150000,"rbw - alterations to existing dwelling: remodel kitchen-dining-living areas, reconstruct rear exterior wall to allow for new aluminium joinery, installation of new ensuite to ground floor guest bedroom, solid fuel heater"
33737,Auckland,Manukau,24-Aug-20,MBCO10312352,70 Andrew Road,Howick,Auckland,70 Andrew Road Howick Auckland,2010,Lot 52 Dp 48877,,3500,sfh - to install a freestanding metro wood burner and flue.
33749,Auckland,Manukau,25-Aug-20,MBCO10312456,17 Justamere Place,Weymouth,Auckland,17 Justamere Place Weymouth Auckland,2103,Lot 17 Dp 103055,,5000,sfh - installation of new freestanding woodfire
33812,Auckland,Manukau,31-Aug-20,MBCO10313143,1 Glenlea Place,Flat Bush,Auckland,1 Glenlea Place Flat Bush Auckland,2016,Lot 27 Dp 123325,,4858,dsfh - installation of a freestanding solid fuel heater to manufacturers specifications
33865,Auckland,Manukau,7-Sep-20,MBCO10313302,20 John Gill Road,Shelly Park,Auckland,20 John Gill Road Shelly Park Auckland,2014,Lot 77 Dp 64420,,4000,installation of solid fuel heater and flue kit
34000,Auckland,Manukau,21-Sep-20,MBCO10312345,3 Hawke Crescent,Beachlands,Auckland,3 Hawke Crescent Beachlands Auckland,2018,Lot 2 Dp 183129,,2500000,"rbw - new two storey dwelling, 5 bedroom, 4.5 bathroom, kithchen, dining, living, rumpus room, media room, gym, sauna, lift, 2 onsen spa pools two storey dwelling with internal access 3 car garage, solid fuel heater and outdoor fireplace. plus decking."
34022,Auckland,Manukau,24-Sep-20,MBCO10314179,25 Beihlers Road,Weymouth,Auckland,25 Beihlers Road Weymouth Auckland,2103,Lot 1 Dp 83422,,6192,sfh - installation of a solid fuel heater to manufacturers specifications
34070,Auckland,Manukau,29-Sep-20,MBCO10314448,546 Kawakawa-Orere Road,Clevedon,Auckland,546 Kawakawa-Orere Road Clevedon Auckland,2585,Lot 1 Dp 195365,,3800,installation of new woodfire.
34073,Auckland,Manukau,29-Sep-20,MBCO10314473,30 Scenic Drive,Hill Park,Auckland,30 Scenic Drive Hill Park Auckland,2102,Lot 2 Dp 67539,,6500,install freestanding woodfire and flue
34087,Auckland,Manukau,30-Sep-20,MBCO10314664,12 Millisle Place,Howick,Auckland,12 Millisle Place Howick Auckland,2016,Lot 827 Dp 188530,,7000,sfh - install freestanding woodfire and flue.
34115,Auckland,Manukau,2-Oct-20,MBCO10314924,1/10 Julian Place,Otara,Auckland,1/10 Julian Place Otara Auckland,2023,"Lot 147 Dp 48914, Flat 1 Dp 116795",,5000,sfh - installation of new woodfire.
34153,Auckland,Manukau,7-Oct-20,MBCO10315313,28 Ambury Road,Mangere Bridge,Auckland,28 Ambury Road Mangere Bridge Auckland,2022,Lot 83 Dp 58746,,3000,sfh - installation of replacement wood burner into masonry chimney
34218,Auckland,Manukau,13-Oct-20,MBCO10315396,25A Shelly Beach Parade,Cockle Bay,Auckland,25A Shelly Beach Parade Cockle Bay Auckland,2014,Lot 2 Dp 84074,,5000,install freestanding woodfire and flue.
34287,Auckland,Manukau,19-Oct-20,MBCO10315737,112 Meadowland Drive,Howick,Auckland,112 Meadowland Drive Howick Auckland,2014,Lot 1 Dp 212155,,3000,installation of replacement wood burner
